film_ref	sm_comm	tfidf_comm	sm_comm_size	tfidf_comm_size	type	betweenness	description
(filmRef)T0105	4	2	93	415	Type 2  vocab > structure	0.00017321309521793287	non-fiction Producer, Scottish Television. Shots of the park. SHOTLIST: Shots of the park (.33); Trims (2.40).
(filmRef)20580	0	4	584	883	Type 2  vocab > structure	0.0001494123328750243	non-fiction; television children Producer, BBC Scotland. Gaelic children's magazine, with music, live chat and a whole load of laughs. [Source - BBC Alba] Programme 24 Special 1 &amp; Na Magairean
(filmRef)N0024	4	2	93	415	Type 2  vocab > structure	0.0001310645753815692	non-fiction Producer, Grampian Television. Shots of the Caricature Theatre in action. SHOTLIST: Shots of the Carricuture Theatre in action.
(filmRef)N0177	4	2	93	415	Type 2  vocab > structure	0.00013061550439396715	non-fiction; television news Producer, Grampian Television. Shots of the Golf Championship in Aberdeen. SHOTLIST: Shots of the Golf Championship in Aberdeen.
(filmRef)5267	4	2	93	415	Type 2  vocab > structure	0.00012381528658170758	non-fiction; television news Producer, [p.c. Templar Film Studios]. Shots of the 'Canberra'. SHOTLIST: Shots of 'Canberra' Ship on river Clyde ? (0.42)
(filmRef)T1116	4	9	93	412	Type 2  vocab > structure	0.00011040730995187499	non-fiction Producer, Scottish Television. See shotlist below. SHOTLIST: Interview with Bob Hope (2.00)
(filmRef)14844	5	29	93	677	Type 2  vocab > structure	0.00010514676409710814	non-fiction; religion television religion Producer, Media Nan Eilean. A service from Shawbost Free Church on the Isle of Lewis
(filmRef)15374	5	29	93	677	Type 2  vocab > structure	0.00010181080818920721	non-fiction Producer, sp. CTG. Worship service from Back Free Church on the Isle of Lewis
(filmRef)T1998	4	2	93	415	Type 2  vocab > structure	9.000665651509623e-05	non-fiction Producer, STV. See shotlist below. SHOTLIST: Gvs of a formation skydiving team in the air (2.06) [Shotlisted at 24 fps]
(filmRef)14266	2	9	295	412	Type 2  vocab > structure	8.699146559833962e-05	non-fiction; television news Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programmes 317, 318. Weeks 30, 31
(filmRef)16229	3	11	116	256	Type 2  vocab > structure	7.724020986755229e-05	non-fiction; television sport Series following sheepdog trials [Source - BBC Alba] Programme 4. Lochcarron.
(filmRef)21133	6	23	68	276	Type 2  vocab > structure	6.351146824657538e-05	non-fiction Producer, Kenyon Communications. Panel show discussing the 20th century and the expectations for the 21st. Programme 7 in the series.
(filmRef)14383	2	9	295	412	Type 2  vocab > structure	6.184349029262492e-05	non-fiction Producer, Grampian Television. 'Air an oir' A special edition of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere
(filmRef)T0542	4	2	93	415	Type 2  vocab > structure	4.2661743822194576e-05	non-fiction Producer, Scottish Television. General shots of new stand and workmen. SHOTLIST: No credits. General shots of new stand and workmen (.39).
(filmRef)14286	3	4	116	883	Type 2  vocab > structure	4.195606084167707e-05	non-fiction; television documentary Series looking at the islands of Scotland. The Inner Isles. [Source - BBC Alba] Episode 2.
(filmRef)15962	3	4	116	883	Type 2  vocab > structure	4.0544694880642065e-05	non-fiction Some spooky meringues for Halloween. [Source - BBC Alba] Programmes 9, 10
(filmRef)16227	3	11	116	256	Type 2  vocab > structure	3.810688094794523e-05	non-fiction; television sport Series following sheepdog trials [Source - BBC Alba] Programme 2. Cowal.
(filmRef)18027	1	5	560	573	Type 2  vocab > structure	3.642821082762329e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 12 A look at Islam in France
(filmRef)14196	5	29	93	677	Type 2  vocab > structure	3.4386007050671115e-05	non-fiction; television religion religion Producer, Media Nan Eilean. An evening mass service from St Michael's church in Lochdar, South Uist [Not Subtitled]
(filmRef)14081	5	29	93	677	Type 2  vocab > structure	3.278218209494952e-05	non-fiction Producer, Media Nan Eilean. Religious documentary from St Michael's Ardkenneth, Lochdar, South Uist.
